CPU Usage (%)
0.76
0.83
0.74
1.05
0.81
0.8
0.85
1.9
0.8
0.88
0.8
0.86
0.8
0.72
0.77
0.71
0.73
0.79
0.72
0.79
0.71
0.84
0.86
0.77
0.78
0.84
0.81
0.86
0.8
0.83
0.78
0.72
0.76
0.76
0.78
0.8
0.71
0.74
0.79
0.82
0.82
0.87
0.82
0.8
0.81
0.89
0.87
0.73
0.74
0.78
0.74
0.73
0.73
0.73
0.79
0.79
3.28
0.86
0.79
0.78
0.84
0.83
0.84
0.78
0.7
0.78
0.71
0.75
0.81
0.73
0.79
0.72
0.79
0.85
0.81
0.8
0.85
0.8
0.87
1.32
1.31
0.81
0.74
0.73
0.8
0.75
0.79
0.73
0.75
0.79
0.79
0.8
0.84
0.79
0.89
0.79
0.81
0.87
0.75
0.75
0.79
0.76
0.74
0.73
0.71
0.79
0.75
0.82
0.87
0.79
0.8
0.87
0.81
0.87
0.8
0.82
0.8
0.74
0.76
0.85
0.82
0.81
0.95
0.79
0.87
0.82
0.8
0.86
0.81
0.87
0.79
0.81
0.89
0.74
0.74
0.83
0.76
0.81
0.74
0.73
0.82
0.81
0.82
0.88
0.81
0.87
0.82
0.8
0.88
0.79
0.75
0.79
0.74
0.82
0.69
0.72
0.79
0.74
0.82
0.86
0.82
0.83
0.83
0.79
0.86
0.84
0.77
0.8
0.74
0.75
0.76
0.74
0.8
0.75
0.75
0.87
0.8
0.81
0.8
0.81
0.88
0.8
0.81
0.81
0.74
0.73
0.8
0.74
0.81
0.71
0.69
0.79
0.79
0.78
0.85
0.78
0.83
0.82
0.8
0.86
0.7
0.71
0.77
0.76
0.81
0.74
0.74
0.8
0.75
0.81
0.85
0.78
0.83
0.79
0.8
0.85
0.82
0.82
0.78
0.71
0.74
0.73
0.72
0.79
0.72
0.78
0.85
0.81
0.83
0.8
0.8
0.87
0.81
0.82
0.87
0.74
0.76
0.78
0.75
0.82
0.74
0.75
0.82
0.79
0.82
0.87
0.78
0.84
0.79
0.79
0.85
0.77
0.73
0.78
0.79
0.8
0.73
0.74
0.82
0.75
0.81
0.86
0.79
0.89
0.81
2.48
0.86
0.79
0.81
0.78
0.74
0.81
0.73
0.73
0.8
0.74
0.76
0.89
0.85
0.83
0.78
0.79
0.85
0.82
0.8
0.85
0.7
0.77
0.7
0.72
0.78
0.72
0.71
0.78
0.79
0.8
0.81
0.79
0.86
0.79
0.79
1.03
0.8
0.74
0.75
0.74
0.79
0.71
0.71
0.79
0.72
0.78
0.87
0.81
0.84
0.77
0.8
0.84
0.81
0.74
0.8
0.74
0.8
0.74
0.73
0.79
0.75
0.85
0.88
0.81
0.88
0.83
0.82
0.84
0.8
0.84
0.81
0.75
0.81
0.75
0.76
0.82
0.75
0.74
0.87
0.82
0.85
0.83
0.82
0.86
0.81
0.84
0.88
0.75
0.82
0.76
0.77
0.81
0.76
0.75
0.8
0.81
0.86
0.8
0.81
0.87
0.8
0.82
0.85
0.79
0.81
0.75
0.71
0.8
0.73
0.74
0.81
0.73
0.84
0.78
0.79
0.88
0.79
0.8
0.85
0.85
0.79
0.72
0.74
0.82
0.74
0.73
0.81
0.75
0.76
0.91
0.82
0.87
0.88
0.8
0.87
0.81
0.78
0.71
0.73
0.78
0.73
0.76
0.8
0.75
0.77
0.88
0.81
0.85
0.8
0.84
0.9
0.83
0.82
0.86
0.72
0.8
0.75
0.75
0.81
0.74
0.73
0.81
0.79
