CPU Usage (%)
0.77
0.74
0.77
1.68
0.75
0.75
0.78
0.79
0.76
0.76
0.76
0.75
0.79
0.79
0.76
0.73
1.48
0.75
0.76
0.73
0.74
0.74
0.75
0.75
0.78
0.76
0.68
0.78
0.74
0.77
0.78
0.74
0.74
0.73
0.76
0.79
0.76
0.77
0.76
0.87
0.76
1.18
1.52
0.75
0.79
0.76
0.79
0.73
0.75
0.77
0.75
0.76
0.77
0.76
0.76
0.77
0.77
0.76
0.74
0.76
0.74
0.79
0.77
0.77
0.76
0.48
0.79
0.75
0.76
0.76
0.77
0.82
0.78
0.76
0.75
0.75
0.76
0.74
0.78
0.76
0.75
0.77
1.54
0.75
0.77
0.77
0.76
0.76
0.78
0.76
0.75
0.77
0.7
0.74
0.75
0.79
0.77
0.76
0.76
0.77
0.75
0.75
0.78
0.79
0.76
0.78
0.78
0.78
0.91
0.76
0.75
0.76
0.76
0.76
0.75
1.11
0.8
0.76
0.78
0.74
0.74
0.77
0.78
0.78
0.76
0.63
0.77
0.75
1.56
0.73
0.76
0.75
0.76
0.74
0.75
0.75
0.75
0.77
0.88
0.73
0.76
1.79
0.75
0.74
0.78
0.78
0.73
0.76
0.75
0.78
0.74
0.9
0.73
0.79
0.75
0.74
0.8
0.77
0.75
0.76
0.79
0.77
0.77
0.77
0.75
0.79
0.74
0.79
0.77
0.78
0.77
0.77
0.6
0.76
0.73
0.73
0.75
0.77
0.75
0.73
1.56
0.78
0.89
0.77
0.77
0.79
0.75
0.76
0.73
0.79
0.8
0.76
0.75
0.8
0.79
0.76
0.74
0.77
0.78
0.79
0.76
0.75
0.77
0.78
0.73
0.76
1.06
0.76
0.79
0.76
0.76
0.77
0.77
0.78
0.75
0.75
0.77
0.73
0.43
0.76
0.78
0.76
0.75
0.76
0.76
0.78
0.74
0.78
0.77
1.06
0.78
0.87
0.77
0.76
0.75
0.75
0.78
0.76
0.78
1.46
0.78
0.77
0.75
0.79
0.75
0.74
0.75
0.76
0.77
0.76
0.75
1.48
0.77
0.78
0.74
0.77
1.1
0.75
0.79
0.74
0.75
0.77
0.79
0.76
0.79
0.77
0.65
0.78
0.81
0.77
0.76
0.74
0.75
0.77
0.79
0.76
0.78
0.76
0.77
0.77
0.74
0.76
0.73
0.74
0.77
0.73
0.73
0.78
0.75
0.75
0.73
1.32
0.74
0.74
0.77
0.75
0.77
0.74
0.77
0.73
0.76
0.97
0.76
0.78
1.5
0.76
0.76
0.76
0.76
0.77
0.78
0.77
0.73
0.79
0.81
0.75
0.78
0.78
0.79
0.78
0.78
0.78
0.74
0.76
0.8
0.76
0.78
0.79
0.74
0.79
1.54
0.77
0.79
0.63
0.78
0.78
0.77
0.76
0.77
0.77
0.77
0.76
0.74
0.77
0.76
0.78
0.94
0.74
0.74
0.79
0.91
0.76
0.76
0.74
0.76
0.77
0.78
0.76
0.71
0.76
0.78
0.76
0.78
0.76
0.77
0.78
0.81
0.75
0.79
0.75
0.75
0.75
0.8
0.78
0.76
0.75
0.75
0.76
0.77
0.76
0.78
0.76
1.5
0.76
0.76
0.78
0.75
0.78
0.77
0.78
0.74
0.78
0.76
0.76
0.75
0.75
0.74
0.79
0.85
0.73
0.74
0.78
0.78
0.77
0.73
0.75
0.74
0.78
0.76
0.8
0.77
0.74
0.78
0.76
0.76
0.94
0.74
0.8
0.78
0.75
1.09
